,CBA-WBC,CBA-ANZ,CBA-NAB,CBA-MQG,WBC-ANZ,WBC-NAB,WBC-MQG,ANZ-NAB,ANZ-MQG,NAB-MQG
2015-01-13,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.02
2015-01-14,0.0,0.0,0.0,0.23,0.0,0.0,0.01,0.0,0.0,0.06
2015-01-15,0.0,0.0,0.0,0.39,0.0,0.0,0.04,0.0,0.0,0.02
2015-01-16,0.0,0.0,0.0,0.26,0.0,0.0,0.04,0.0,0.0,0.04
2015-01-19,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.03
2015-01-20,0.0,0.0,0.0,0.19,0.0,0.0,0.01,0.0,0.0,0.07
2015-01-21,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.02
2015-01-22,0.0,0.0,0.0,0.14,0.0,0.0,0.02,0.0,0.0,0.02
2015-01-23,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.02
2015-01-26,0.0,0.0,0.0,0.14,0.0,0.0,0.01,0.0,0.0,0.01
2015-01-27,0.0,0.0,0.0,0.14,0.0,0.0,0.02,0.0,0.0,0.02
2015-01-28,0.0,0.0,0.0,0.31,0.0,0.0,0.03,0.0,0.0,0.11
2015-01-29,0.0,0.0,0.0,0.33,0.0,0.0,0.08,0.0,0.0,0.11
2015-01-30,0.0,0.0,0.0,0.47,0.0,0.0,0.19,0.0,0.0,0.06
2015-02-02,0.0,0.0,0.0,0.22,0.0,0.0,0.16,0.0,0.0,0.02
2015-02-03,0.0,0.0,0.0,0.36,0.0,0.0,0.26,0.0,0.0,0.04
2015-02-04,0.0,0.0,0.0,0.35,0.0,0.0,0.2,0.0,0.0,0.02
2015-02-05,0.0,0.0,0.0,0.42,0.0,0.0,0.3,0.0,0.0,0.01
2015-02-06,0.0,0.0,0.0,0.49,0.0,0.0,0.12,0.0,0.0,0.01
2015-02-09,0.0,0.0,0.0,0.47,0.0,0.0,0.15,0.0,0.0,0.04
2015-02-10,0.0,0.0,0.0,0.53,0.0,0.0,0.18,0.0,0.0,0.02
2015-02-11,0.0,0.0,0.0,0.65,0.0,0.0,0.33,0.0,0.0,0.01
2015-02-12,0.0,0.0,0.0,0.56,0.0,0.0,0.33,0.0,0.0,0.05
2015-02-13,0.0,0.0,0.0,0.58,0.0,0.0,0.17,0.0,0.0,0.01
2015-02-16,0.0,0.0,0.0,0.57,0.0,0.0,0.15,0.0,0.0,0.05
2015-02-17,0.0,0.0,0.0,0.52,0.0,0.0,0.2,0.0,0.0,0.1
2015-02-18,0.0,0.0,0.0,0.39,0.0,0.0,0.08,0.0,0.0,0.07
2015-02-19,0.0,0.0,0.0,0.37,0.0,0.0,0.12,0.0,0.0,0.05
2015-02-20,0.0,0.0,0.0,0.26,0.0,0.0,0.13,0.0,0.0,0.06
2015-02-23,0.0,0.0,0.0,0.28,0.0,0.0,0.08,0.0,0.0,0.04
2015-02-24,0.0,0.0,0.0,0.12,0.0,0.0,0.07,0.0,0.0,0.02
2015-02-25,0.0,0.0,0.0,0.2,0.0,0.0,0.08,0.0,0.0,0.03
2015-02-26,0.0,0.0,0.0,0.26,0.0,0.0,0.02,0.0,0.0,0.0
2015-02-27,0.0,0.0,0.0,0.16,0.0,0.0,0.04,0.0,0.0,0.04
2015-03-02,0.0,0.0,0.0,0.4,0.0,0.0,0.01,0.0,0.0,0.04
2015-03-03,0.0,0.0,0.0,0.31,0.0,0.0,0.09,0.0,0.0,0.07
2015-03-04,0.0,0.0,0.0,0.26,0.0,0.0,0.08,0.0,0.0,0.06
2015-03-05,0.0,0.0,0.0,0.18,0.0,0.0,0.07,0.0,0.0,0.09
2015-03-06,0.0,0.0,0.0,0.17,0.0,0.0,0.14,0.0,0.0,0.13
2015-03-09,0.0,0.0,0.0,0.26,0.0,0.0,0.11,0.0,0.02,0.19
2015-03-10,0.0,0.0,0.0,0.22,0.0,0.0,0.1,0.0,0.0,0.1
2015-03-11,0.0,0.0,0.0,0.13,0.0,0.0,0.1,0.0,0.0,0.1
2015-03-12,0.0,0.0,0.0,0.17,0.0,0.0,0.08,0.0,0.0,0.2
2015-03-13,0.0,0.0,0.0,0.24,0.0,0.0,0.02,0.0,0.0,0.05
2015-03-16,0.0,0.0,0.0,0.3,0.0,0.0,0.03,0.0,0.0,0.04
2015-03-17,0.0,0.0,0.0,0.07,0.0,0.0,0.02,0.0,0.0,0.03
2015-03-18,0.0,0.0,0.0,0.14,0.0,0.0,0.01,0.0,0.0,0.01
2015-03-19,0.0,0.0,0.0,0.13,0.0,0.0,0.07,0.0,0.0,0.04
2015-03-20,0.0,0.0,0.0,0.09,0.0,0.0,0.02,0.0,0.0,0.04
2015-03-23,0.0,0.0,0.0,0.09,0.0,0.0,0.04,0.0,0.01,0.0
2015-03-24,0.0,0.0,0.0,0.16,0.0,0.0,0.03,0.0,0.0,0.11
2015-03-25,0.0,0.0,0.0,0.14,0.0,0.0,0.03,0.0,0.0,0.02
2015-03-26,0.0,0.0,0.0,0.25,0.0,0.0,0.08,0.0,0.0,0.06
2015-03-27,0.0,0.0,0.0,0.39,0.0,0.0,0.15,0.0,0.01,0.17
2015-03-30,0.0,0.0,0.0,0.28,0.0,0.0,0.15,0.0,0.0,0.26
2015-03-31,0.0,0.0,0.0,0.39,0.0,0.0,0.05,0.0,0.0,0.18
2015-04-01,0.0,0.0,0.0,0.32,0.0,0.0,0.11,0.0,0.02,0.23
2015-04-02,0.0,0.0,0.0,0.46,0.0,0.0,0.16,0.0,0.01,0.32
2015-04-07,0.0,0.0,0.0,0.6,0.0,0.0,0.15,0.0,0.0,0.41
2015-04-08,0.0,0.0,0.0,0.53,0.0,0.0,0.19,0.0,0.0,0.51
2015-04-09,0.0,0.0,0.0,0.66,0.0,0.0,0.08,0.0,0.0,0.53
2015-04-10,0.0,0.0,0.0,0.45,0.0,0.0,0.17,0.0,0.06,0.57
2015-04-13,0.0,0.0,0.0,0.54,0.0,0.0,0.1,0.0,0.01,0.51
2015-04-14,0.0,0.0,0.0,0.59,0.0,0.0,0.12,0.0,0.04,0.43
2015-04-15,0.0,0.0,0.0,0.67,0.0,0.0,0.08,0.0,0.02,0.41
2015-04-16,0.0,0.0,0.0,0.74,0.0,0.0,0.06,0.0,0.01,0.3
2015-04-17,0.0,0.0,0.0,0.85,0.0,0.0,0.09,0.0,0.06,0.35
2015-04-20,0.0,0.0,0.0,0.8,0.0,0.0,0.07,0.0,0.07,0.28
2015-04-21,0.0,0.0,0.0,0.84,0.0,0.0,0.09,0.0,0.05,0.32
2015-04-22,0.0,0.0,0.0,0.84,0.0,0.0,0.15,0.0,0.06,0.23
2015-04-23,0.0,0.0,0.0,0.85,0.0,0.0,0.13,0.0,0.07,0.34
